<1858 , {input\big1.txt : 1}>
<trincomalee , {input\big1.txt : 1}>
<triumphant , {input\big1.txt : 1}>
<trousers , {input\big1.txt : 1}>
<true , {input\big1.txt : 1}>
<trust , {input\big1.txt : 3}>
<trusted , {input\big1.txt : 1}>
<turn , {input\big1.txt : 2}>
<turned , {input\big1.txt : 2}>
<turner , {input\big1.txt : 1}>
<tweed , {input\big1.txt : 1}>
<twelve , {input\big1.txt : 1}>
<twentieth , {input\big1.txt : 1}>
<twenty , {input\big1.txt : 4}>
<twice , {input\big1.txt : 6}>
<twist , {input\big1.txt : 1}>
<two , {input\big1.txt : 11}>
<twopence , {input\big1.txt : 1}>
<tying , {input\big1.txt : 1}>
<uncertain , {input\big1.txt : 1}>
<uncontrollable , {input\big1.txt : 1}>
<uncourteous , {input\big1.txt : 1}>
<undated , {input\big1.txt : 1}>
<under , {input\big1.txt : 6}>
<understand , {input\big1.txt : 6}>
<unexpected , {input\big1.txt : 1}>
<unknown , {input\big1.txt : 1}>
<unlikely , {input\big1.txt : 1}>
<unpleasantness , {input\big1.txt : 1}>
<until , {input\big1.txt : 2}>
<unusual , {input\big1.txt : 1}>
<up , {input\big1.txt : 28}>
<upon , {input\big1.txt : 19}>
<upper , {input\big1.txt : 1}>
<us , {input\big1.txt : 5}>
<use , {input\big1.txt : 2}>
<usual , {input\big1.txt : 1}>
<vague , {input\big1.txt : 1}>
<vanished , {input\big1.txt : 1}>
<vary , {input\big1.txt : 1}>
<veil , {input\big1.txt : 1}>
<verbs , {input\big1.txt : 1}>
<very , {input\big1.txt : 16}>
<view , {input\big1.txt : 1}>
<vile , {input\big1.txt : 1}>
<villa , {input\big1.txt : 1}>
<visible , {input\big1.txt : 1}>
<visit , {input\big1.txt : 1}>
<visitor , {input\big1.txt : 5}>
<visits , {input\big1.txt : 1}>
<vizard , {input\big1.txt : 1}>
<voice , {input\big1.txt : 1}>
<volume , {input\big1.txt : 1}>
<von , {input\big1.txt : 4}>
<vouching , {input\big1.txt : 1}>
<wait , {input\big1.txt : 2}>
<waiting , {input\big1.txt : 1}>
<walk , {input\big1.txt : 3}>
<walked , {input\big1.txt : 2}>
<walks , {input\big1.txt : 1}>
<wall , {input\big1.txt : 1}>
<wallenstein , {input\big1.txt : 1}>
<want , {input\big1.txt : 2}>
<wanted , {input\big1.txt : 2}>
<warsaw , {input\big1.txt : 2}>
<was , {input\big1.txt : 92}>
<was; , {input\big1.txt : 1}>
<watch , {input\big1.txt : 4}>
<watched , {input\big1.txt : 1}>
<watching , {input\big1.txt : 1}>
<watson , {input\big1.txt : 6}>
<waved , {input\big1.txt : 1}>
<waving , {input\big1.txt : 1}>
<way , {input\big1.txt : 3}>
<waylaid , {input\big1.txt : 2}>
<we , {input\big1.txt : 17}>
<weapon , {input\big1.txt : 1}>
<wear , {input\big1.txt : 2}>
<wearing , {input\big1.txt : 1}>
<weather , {input\big1.txt : 1}>
<wedlock , {input\big1.txt : 1}>
<week , {input\big1.txt : 2}>
<weight , {input\big1.txt : 1}>
<well , {input\big1.txt : 9}>
<went , {input\big1.txt : 2}>
<were , {input\big1.txt : 17}>
<wet , {input\big1.txt : 1}>
<what , {input\big1.txt : 22}>
<whatever , {input\big1.txt : 1}>
<wheel , {input\big1.txt : 1}>
<wheels , {input\big1.txt : 3}>
<when , {input\big1.txt : 16}>
<whence , {input\big1.txt : 1}>
<where , {input\big1.txt : 8}>
<whether , {input\big1.txt : 4}>
<which , {input\big1.txt : 41}>
<while , {input\big1.txt : 7}>
<whiskered , {input\big1.txt : 1}>
<whispered , {input\big1.txt : 1}>
<whistled , {input\big1.txt : 1}>
<white , {input\big1.txt : 2}>
<who , {input\big1.txt : 27}>
<whole , {input\big1.txt : 3}>
<whom , {input\big1.txt : 5}>
<whose , {input\big1.txt : 1}>
<why , {input\big1.txt : 4}>
<widened , {input\big1.txt : 1}>
<wife , {input\big1.txt : 1}>
<wilhelm , {input\big1.txt : 1}>
<will , {input\big1.txt : 27}>
<wind , {input\big1.txt : 1}>
<window , {input\big1.txt : 6}>
<windows , {input\big1.txt : 2}>
<wish , {input\big1.txt : 1}>
<wishes , {input\big1.txt : 1}>
<with , {input\big1.txt : 54}>
<within , {input\big1.txt : 1}>
<without , {input\big1.txt : 7}>
<witness , {input\big1.txt : 1}>
<woman , {input\big1.txt : 5}>
<womans , {input\big1.txt : 1}>
<women , {input\big1.txt : 2}>
<wonderful , {input\big1.txt : 1}>
<wondering , {input\big1.txt : 1}>
<wont , {input\big1.txt : 1}>
<wood , {input\big1.txt : 1}>
<wooing , {input\big1.txt : 1}>
<word , {input\big1.txt : 2}>
<wore , {input\big1.txt : 1}>
<work , {input\big1.txt : 5}>
<world , {input\big1.txt : 1}>
<would , {input\big1.txt : 12}>
<woven , {input\big1.txt : 1}>
<wrist , {input\big1.txt : 1}>
<writes , {input\big1.txt : 1}>
<writing , {input\big1.txt : 2}>
<written , {input\big1.txt : 3}>
<wrote , {input\big1.txt : 3}>
<yawn , {input\big1.txt : 1}>
<year , {input\big1.txt : 1}>
<years , {input\big1.txt : 2}>
<years; , {input\big1.txt : 1}>
<yes , {input\big1.txt : 4}>
<yet , {input\big1.txt : 8}>
<you , {input\big1.txt : 95}>
<youll , {input\big1.txt : 1}>
<young , {input\big1.txt : 4}>
<your , {input\big1.txt : 25}>
<yours , {input\big1.txt : 1}>
<yourself , {input\big1.txt : 3}>
